status,package,source_folder,display_name,batch,source_path,processed_path,backup_path,replacement_format
done,actors-artists,artists,lucian freud,batch_0003,actors-artists/artists/lucian freud,photoroom_processed/actors-artists/artists/lucian freud.png,photoroom_original_backups/batch_0003/actors-artists/artists/lucian freud,.png
done,actors-artists,artists,lygia clark,batch_0003,actors-artists/artists/lygia clark,photoroom_processed/actors-artists/artists/lygia clark.png,photoroom_original_backups/batch_0003/actors-artists/artists/lygia clark,.png
done,actors-artists,artists,marc chagall,batch_0003,actors-artists/artists/marc chagall,photoroom_processed/actors-artists/artists/marc chagall.png,photoroom_original_backups/batch_0003/actors-artists/artists/marc chagall,.png
done,actors-artists,artists,marcel duchamp,batch_0003,actors-artists/artists/marcel duchamp,photoroom_processed/actors-artists/artists/marcel duchamp.png,photoroom_original_backups/batch_0003/actors-artists/artists/marcel duchamp,.png
done,actors-artists,artists,mark rothko,batch_0003,actors-artists/artists/mark rothko,photoroom_processed/actors-artists/artists/mark rothko.png,photoroom_original_backups/batch_0003/actors-artists/artists/mark rothko,.png
done,actors-artists,artists,matthew barney,batch_0003,actors-artists/artists/matthew barney,photoroom_processed/actors-artists/artists/matthew barney.png,photoroom_original_backups/batch_0003/actors-artists/artists/matthew barney,.png
done,actors-artists,artists,michelangelo,batch_0003,actors-artists/artists/michelangelo,photoroom_processed/actors-artists/artists/michelangelo.png,photoroom_original_backups/batch_0003/actors-artists/artists/michelangelo,.png
done,actors-artists,artists,nam june paik,batch_0003,actors-artists/artists/nam june paik,photoroom_processed/actors-artists/artists/nam june paik.png,photoroom_original_backups/batch_0003/actors-artists/artists/nam june paik,.png
done,actors-artists,artists,nan goldin,batch_0003,actors-artists/artists/nan goldin,photoroom_processed/actors-artists/artists/nan goldin.png,photoroom_original_backups/batch_0003/actors-artists/artists/nan goldin,.png
done,actors-artists,artists,neo rauch,batch_0003,actors-artists/artists/neo rauch,photoroom_processed/actors-artists/artists/neo rauch.png,photoroom_original_backups/batch_0003/actors-artists/artists/neo rauch,.png
done,actors-artists,artists,pablo picasso,batch_0003,actors-artists/artists/pablo picasso,photoroom_processed/actors-artists/artists/pablo picasso.png,photoroom_original_backups/batch_0003/actors-artists/artists/pablo picasso,.png
done,actors-artists,artists,paul gauguin,batch_0003,actors-artists/artists/paul gauguin,photoroom_processed/actors-artists/artists/paul gauguin.png,photoroom_original_backups/batch_0003/actors-artists/artists/paul gauguin,.png
done,actors-artists,artists,peter blake,batch_0003,actors-artists/artists/peter blake,photoroom_processed/actors-artists/artists/peter blake.png,photoroom_original_backups/batch_0003/actors-artists/artists/peter blake,.png
done,actors-artists,artists,piero manzoni,batch_0003,actors-artists/artists/piero manzoni,photoroom_processed/actors-artists/artists/piero manzoni.png,photoroom_original_backups/batch_0003/actors-artists/artists/piero manzoni,.png
done,actors-artists,artists,pierre-auguste renoir,batch_0003,actors-artists/artists/pierre-auguste renoir,photoroom_processed/actors-artists/artists/pierre-auguste renoir.png,photoroom_original_backups/batch_0003/actors-artists/artists/pierre-auguste renoir,.png
done,actors-artists,artists,piet mondrian,batch_0003,actors-artists/artists/piet mondrian,photoroom_processed/actors-artists/artists/piet mondrian.png,photoroom_original_backups/batch_0003/actors-artists/artists/piet mondrian,.png
done,actors-artists,artists,rachel whiteread,batch_0003,actors-artists/artists/rachel whiteread,photoroom_processed/actors-artists/artists/rachel whiteread.png,photoroom_original_backups/batch_0003/actors-artists/artists/rachel whiteread,.png
done,actors-artists,artists,raphael,batch_0003,actors-artists/artists/raphael,photoroom_processed/actors-artists/artists/raphael.png,photoroom_original_backups/batch_0003/actors-artists/artists/raphael,.png
done,actors-artists,artists,rembrandt,batch_0003,actors-artists/artists/rembrandt,photoroom_processed/actors-artists/artists/rembrandt.png,photoroom_original_backups/batch_0003/actors-artists/artists/rembrandt,.png
done,actors-artists,artists,richard hamilton,batch_0003,actors-artists/artists/richard hamilton,photoroom_processed/actors-artists/artists/richard hamilton.png,photoroom_original_backups/batch_0003/actors-artists/artists/richard hamilton,.png
done,actors-artists,artists,richard serra,batch_0003,actors-artists/artists/richard serra,photoroom_processed/actors-artists/artists/richard serra.png,photoroom_original_backups/batch_0003/actors-artists/artists/richard serra,.png
done,actors-artists,artists,roy lichtenstein,batch_0003,actors-artists/artists/roy lichtenstein,photoroom_processed/actors-artists/artists/roy lichtenstein.png,photoroom_original_backups/batch_0003/actors-artists/artists/roy lichtenstein,.png
done,actors-artists,artists,shirin neshat,batch_0003,actors-artists/artists/shirin neshat,photoroom_processed/actors-artists/artists/shirin neshat.png,photoroom_original_backups/batch_0003/actors-artists/artists/shirin neshat,.png
done,actors-artists,artists,sigmar polke,batch_0003,actors-artists/artists/sigmar polke,photoroom_processed/actors-artists/artists/sigmar polke.png,photoroom_original_backups/batch_0003/actors-artists/artists/sigmar polke,.png
done,actors-artists,artists,subodh gupta,batch_0003,actors-artists/artists/subodh gupta,photoroom_processed/actors-artists/artists/subodh gupta.png,photoroom_original_backups/batch_0003/actors-artists/artists/subodh gupta,.png
done,actors-artists,artists,teresa margolles,batch_0003,actors-artists/artists/teresa margolles,photoroom_processed/actors-artists/artists/teresa margolles.png,photoroom_original_backups/batch_0003/actors-artists/artists/teresa margolles,.png
done,actors-artists,artists,thomas gainsborough,batch_0003,actors-artists/artists/thomas gainsborough,photoroom_processed/actors-artists/artists/thomas gainsborough.png,photoroom_original_backups/batch_0003/actors-artists/artists/thomas gainsborough,.png
done,actors-artists,artists,tracey emin,batch_0003,actors-artists/artists/tracey emin,photoroom_processed/actors-artists/artists/tracey emin.png,photoroom_original_backups/batch_0003/actors-artists/artists/tracey emin,.png
done,actors-artists,artists,victor vasarely,batch_0003,actors-artists/artists/victor vasarely,photoroom_processed/actors-artists/artists/victor vasarely.png,photoroom_original_backups/batch_0003/actors-artists/artists/victor vasarely,.png
done,actors-artists,artists,vincent van gogh,batch_0003,actors-artists/artists/vincent van gogh,photoroom_processed/actors-artists/artists/vincent van gogh.png,photoroom_original_backups/batch_0003/actors-artists/artists/vincent van gogh,.png
done,actors-artists,artists,vito acconci,batch_0003,actors-artists/artists/vito acconci,photoroom_processed/actors-artists/artists/vito acconci.png,photoroom_original_backups/batch_0003/actors-artists/artists/vito acconci,.png
done,actors-artists,artists,willem de kooning,batch_0003,actors-artists/artists/willem de kooning,photoroom_processed/actors-artists/artists/willem de kooning.png,photoroom_original_backups/batch_0003/actors-artists/artists/willem de kooning,.png
done,actors-artists,artists,william blake,batch_0003,actors-artists/artists/william blake,photoroom_processed/actors-artists/artists/william blake.png,photoroom_original_backups/batch_0003/actors-artists/artists/william blake,.png
done,actors-artists,artists,william kentridge,batch_0003,actors-artists/artists/william kentridge,photoroom_processed/actors-artists/artists/william kentridge.png,photoroom_original_backups/batch_0003/actors-artists/artists/william kentridge,.png
done,actors-artists,artists,wolfgang tillmans,batch_0003,actors-artists/artists/wolfgang tillmans,photoroom_processed/actors-artists/artists/wolfgang tillmans.png,photoroom_original_backups/batch_0003/actors-artists/artists/wolfgang tillmans,.png
done,actors-artists,artists,wu guanzhong,batch_0003,actors-artists/artists/wu guanzhong,photoroom_processed/actors-artists/artists/wu guanzhong.png,photoroom_original_backups/batch_0003/actors-artists/artists/wu guanzhong,.png
done,actors-artists,artists,xu bing,batch_0003,actors-artists/artists/xu bing,photoroom_processed/actors-artists/artists/xu bing.png,photoroom_original_backups/batch_0003/actors-artists/artists/xu bing,.png
done,actors-artists,artists,yayoi kusama,batch_0003,actors-artists/artists/yayoi kusama,photoroom_processed/actors-artists/artists/yayoi kusama.png,photoroom_original_backups/batch_0003/actors-artists/artists/yayoi kusama,.png
done,actors-artists,gemini,ai weiwei,batch_0003,actors-artists/gemini/ai weiwei,photoroom_processed/actors-artists/gemini/ai weiwei.png,photoroom_original_backups/batch_0003/actors-artists/gemini/ai weiwei,.png
done,actors-artists,gemini,allen jones,batch_0003,actors-artists/gemini/allen jones,photoroom_processed/actors-artists/gemini/allen jones.png,photoroom_original_backups/batch_0003/actors-artists/gemini/allen jones,.png
done,actors-artists,gemini,andreas gursky,batch_0003,actors-artists/gemini/andreas gursky,photoroom_processed/actors-artists/gemini/andreas gursky.png,photoroom_original_backups/batch_0003/actors-artists/gemini/andreas gursky,.png
done,actors-artists,gemini,andy warhol,batch_0003,actors-artists/gemini/andy warhol,photoroom_processed/actors-artists/gemini/andy warhol.png,photoroom_original_backups/batch_0003/actors-artists/gemini/andy warhol,.png
done,actors-artists,gemini,antonio canova,batch_0003,actors-artists/gemini/antonio canova,photoroom_processed/actors-artists/gemini/antonio canova.png,photoroom_original_backups/batch_0003/actors-artists/gemini/antonio canova,.png
done,actors-artists,gemini,arshile gorky,batch_0003,actors-artists/gemini/arshile gorky,photoroom_processed/actors-artists/gemini/arshile gorky.png,photoroom_original_backups/batch_0003/actors-artists/gemini/arshile gorky,.png
done,actors-artists,gemini,auguste rodin,batch_0003,actors-artists/gemini/auguste rodin,photoroom_processed/actors-artists/gemini/auguste rodin.png,photoroom_original_backups/batch_0003/actors-artists/gemini/auguste rodin,.png
done,actors-artists,gemini,barbara hepworth,batch_0003,actors-artists/gemini/barbara hepworth,photoroom_processed/actors-artists/gemini/barbara hepworth.png,photoroom_original_backups/batch_0003/actors-artists/gemini/barbara hepworth,.png
done,actors-artists,gemini,berthe morisot,batch_0003,actors-artists/gemini/berthe morisot,photoroom_processed/actors-artists/gemini/berthe morisot.png,photoroom_original_backups/batch_0003/actors-artists/gemini/berthe morisot,.png
done,actors-artists,gemini,bill viola,batch_0003,actors-artists/gemini/bill viola,photoroom_processed/actors-artists/gemini/bill viola.png,photoroom_original_backups/batch_0003/actors-artists/gemini/bill viola,.png
done,actors-artists,gemini,brett whiteley,batch_0003,actors-artists/gemini/brett whiteley,photoroom_processed/actors-artists/gemini/brett whiteley.png,photoroom_original_backups/batch_0003/actors-artists/gemini/brett whiteley,.png
done,actors-artists,gemini,bridget riley,batch_0003,actors-artists/gemini/bridget riley,photoroom_processed/actors-artists/gemini/bridget riley.png,photoroom_original_backups/batch_0003/actors-artists/gemini/bridget riley,.png
done,actors-artists,gemini,camille pissarro,batch_0003,actors-artists/gemini/camille pissarro,photoroom_processed/actors-artists/gemini/camille pissarro.png,photoroom_original_backups/batch_0003/actors-artists/gemini/camille pissarro,.png
done,actors-artists,gemini,caravaggio,batch_0003,actors-artists/gemini/caravaggio,photoroom_processed/actors-artists/gemini/caravaggio.png,photoroom_original_backups/batch_0003/actors-artists/gemini/caravaggio,.png
done,actors-artists,gemini,caspar david friedrich,batch_0003,actors-artists/gemini/caspar david friedrich,photoroom_processed/actors-artists/gemini/caspar david friedrich.png,photoroom_original_backups/batch_0003/actors-artists/gemini/caspar david friedrich,.png
done,actors-artists,gemini,cindy sherman,batch_0003,actors-artists/gemini/cindy sherman,photoroom_processed/actors-artists/gemini/cindy sherman.png,photoroom_original_backups/batch_0003/actors-artists/gemini/cindy sherman,.png
done,actors-artists,gemini,claude monet,batch_0003,actors-artists/gemini/claude monet,photoroom_processed/actors-artists/gemini/claude monet.png,photoroom_original_backups/batch_0003/actors-artists/gemini/claude monet,.png
done,actors-artists,gemini,damien hirst,batch_0003,actors-artists/gemini/damien hirst,photoroom_processed/actors-artists/gemini/damien hirst.png,photoroom_original_backups/batch_0003/actors-artists/gemini/damien hirst,.png
done,actors-artists,gemini,dan flavin,batch_0003,actors-artists/gemini/dan flavin,photoroom_processed/actors-artists/gemini/dan flavin.png,photoroom_original_backups/batch_0003/actors-artists/gemini/dan flavin,.png
done,actors-artists,gemini,daniel richter,batch_0003,actors-artists/gemini/daniel richter,photoroom_processed/actors-artists/gemini/daniel richter.png,photoroom_original_backups/batch_0003/actors-artists/gemini/daniel richter,.png
done,actors-artists,gemini,david alfaro siqueiros,batch_0003,actors-artists/gemini/david alfaro siqueiros,photoroom_processed/actors-artists/gemini/david alfaro siqueiros.png,photoroom_original_backups/batch_0003/actors-artists/gemini/david alfaro siqueiros,.png
done,actors-artists,gemini,david hockney,batch_0003,actors-artists/gemini/david hockney,photoroom_processed/actors-artists/gemini/david hockney.png,photoroom_original_backups/batch_0003/actors-artists/gemini/david hockney,.png
done,actors-artists,gemini,david salle,batch_0003,actors-artists/gemini/david salle,photoroom_processed/actors-artists/gemini/david salle.png,photoroom_original_backups/batch_0003/actors-artists/gemini/david salle,.png
done,actors-artists,gemini,edgar degas,batch_0003,actors-artists/gemini/edgar degas,photoroom_processed/actors-artists/gemini/edgar degas.png,photoroom_original_backups/batch_0003/actors-artists/gemini/edgar degas,.png
